2026-07-06|2026-07-10|MEDIUM|MACRO WEEK
2026-07-13|2026-07-17|LOW|MAJOR MACRO WEEK
2026-07-20|2026-07-24|HIGH|TYPICAL
2026-07-27|2026-07-31|VERY LOW|FOMC + GDP + CONTRACT ROLL
2026-08-03|2026-08-07|MEDIUM|NFP WEEK
2026-08-10|2026-08-14|MEDIUM|CPI/PPI WEEK
2026-08-17|2026-08-21|HIGH|TYPICAL
2026-08-24|2026-08-28|MEDIUM|PCE/GDP WEEK
2026-08-31|2026-09-04|MEDIUM|NFP WEEK
2026-09-07|2026-09-11|MEDIUM|CPI WEEK
2026-09-14|2026-09-18|LOW|FOMC WEEK
2026-09-21|2026-09-25|MEDIUM-LOW|CONTRACT ROLL
2026-09-28|2026-10-02|MEDIUM|GDP/PCE WEEK
2026-10-05|2026-10-09|MEDIUM|NFP WEEK
2026-10-12|2026-10-16|MEDIUM|CPI/PPI WEEK
2026-10-19|2026-10-23|HIGH|TYPICAL
2026-10-26|2026-10-30|LOW|FOMC + GDP
2026-11-02|2026-11-06|MEDIUM|NFP WEEK
2026-11-09|2026-11-13|MEDIUM|CPI WEEK
2026-11-16|2026-11-20|MEDIUM-LOW|CONTRACT ROLL
2026-11-23|2026-11-27|LOW|THANKSGIVING + PCE
2026-11-30|2026-12-04|MEDIUM|NFP WEEK
2026-12-07|2026-12-11|VERY LOW|FOMC + CPI
2026-12-14|2026-12-18|HIGH|TYPICAL
2026-12-21|2026-12-25|LOW|CHRISTMAS WEEK
2026-12-28|2027-01-01|LOW|YEAR-END WEEK
2027-01-04|2027-01-08|MEDIUM|NFP WEEK
2027-01-11|2027-01-15|MEDIUM|CPI/PPI WEEK
2027-01-18|2027-01-22|HIGH|TYPICAL
2027-01-25|2027-01-29|LOW|FOMC WEEK
2027-02-01|2027-02-05|MEDIUM|NFP WEEK
2027-02-08|2027-02-12|MEDIUM|CPI WEEK
2027-02-15|2027-02-19|HIGH|TYPICAL
2027-02-22|2027-02-26|HIGH|TYPICAL
2027-03-01|2027-03-05|MEDIUM|NFP WEEK
2027-03-08|2027-03-12|MEDIUM|CPI WEEK
2027-03-15|2027-03-19|LOW|FOMC WEEK
2027-03-22|2027-03-26|MEDIUM-LOW|CONTRACT ROLL
2027-03-29|2027-04-02|MEDIUM|GDP/PCE WEEK
2027-04-05|2027-04-09|MEDIUM|NFP WEEK
2027-04-12|2027-04-16|MEDIUM|CPI/PPI WEEK
2027-04-19|2027-04-23|HIGH|TYPICAL
2027-04-26|2027-04-30|LOW|FOMC WEEK
2027-05-03|2027-05-07|HIGH|TYPICAL
2027-05-10|2027-05-14|HIGH|TYPICAL
2027-05-17|2027-05-21|HIGH|TYPICAL
2027-05-24|2027-05-28|HIGH|TYPICAL
2027-05-31|2027-06-04|MEDIUM|NFP WEEK
2027-06-07|2027-06-11|VERY LOW|FOMC + CPI
2027-06-14|2027-06-18|MEDIUM-LOW|CONTRACT ROLL
2027-06-21|2027-06-25|HIGH|TYPICAL
2027-06-28|2027-07-02|HIGH|TYPICAL
2027-07-05|2027-07-09|MEDIUM|NFP WEEK
2027-07-12|2027-07-16|MEDIUM|CPI/PPI WEEK
2027-07-19|2027-07-23|HIGH|TYPICAL
2027-07-26|2027-07-30|VERY LOW|FOMC + CONTRACT ROLL
2027-08-02|2027-08-06|MEDIUM|NFP WEEK
2027-08-09|2027-08-13|MEDIUM|CPI WEEK
2027-08-16|2027-08-20|HIGH|TYPICAL
2027-08-23|2027-08-27|HIGH|TYPICAL
2027-08-30|2027-09-03|MEDIUM|NFP WEEK
2027-09-06|2027-09-10|MEDIUM|CPI WEEK
2027-09-13|2027-09-17|LOW|FOMC WEEK
2027-09-20|2027-09-24|MEDIUM-LOW|CONTRACT ROLL
2027-09-27|2027-10-01|MEDIUM|GDP/PCE WEEK
2027-10-04|2027-10-08|MEDIUM|NFP WEEK
2027-10-11|2027-10-15|MEDIUM|CPI/PPI WEEK
2027-10-18|2027-10-22|HIGH|TYPICAL
2027-10-25|2027-10-29|LOW|FOMC WEEK
2027-11-01|2027-11-05|MEDIUM|NFP WEEK
2027-11-08|2027-11-12|MEDIUM|CPI WEEK
2027-11-15|2027-11-19|MEDIUM-LOW|CONTRACT ROLL
2027-11-22|2027-11-26|LOW|THANKSGIVING WEEK
2027-11-29|2027-12-03|MEDIUM|NFP WEEK
2027-12-06|2027-12-10|VERY LOW|FOMC + CPI
2027-12-13|2027-12-17|HIGH|TYPICAL
2027-12-20|2027-12-24|LOW|CHRISTMAS WEEK
2027-12-27|2027-12-31|LOW|YEAR-END WEEK


